CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
WGSS 6110,Black Women and Health,"Black Women and Health3 Credit Hours  Description(Same as AAS 6110.) This course examines the intersections of race, gender, and health with a critical focus on the health experiences of women in the United States with some discussion of Africa, the Caribbean, and the diaspora.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6111,Anthropology of Self and Emotion,"Anthropology of Self and Emotion3 Credit Hours  Description(Same as ANTH 6111 .). This course draws upon readings in anthropological theory and ethnography to consider the cultural construction of self-hood, identity, and feelings, with an emphasis on the historical specificity of particular experiences, how they may be influenced by factors such as capitalism, how they may change over time, and the significance of gender.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6210,Gender and Power in Ethnographic Perspective,"Gender and Power in Ethnographic Perspective3 Credit Hours  Description(Same as ANTH 6420 ) Ethnographic and theoretical examination of the role of gender in human societies, including role differences and inequalities between women and men cross-culturally; the cultural significance and social institutions associated with public and domestic spheres; power, ideology, and the production of historically specific gender identities and sexualities; global perspectives on feminism and approaches to women’s empowerment.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6240,Sexuality and Gender in Asia,"Sexuality and Gender in Asia3 Credit Hours Requirements: No prior course on Asian Studies is required.    Description(Same as ANTH 6241 .). Students will be exposed to studies of sexuality and gender in Asia from the perspective of feminist theory, queer theory, LGBT studies, and women’s gender, and sexuality studies. Materials explored include academic texts, memoir, fiction, and film. The course will be particularly useful for majors/minors in Women’s Studies and anthropology.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6310,Girls,"Girls3 Credit Hours  Description(Same as Anth 6320 and Soci 6315) Feminist analyses of who girls are and how they are socialized in our society. Girls’ experiences with social institutions, growth and development issues, self-esteem and body image, sexuality, culture and media, third-wave feminism, and girls’ movements.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6470,Visual Culture,"Visual Culture3 Credit Hours  Description(Same as ANTH 6470 .). Study of the visual politics of social organization with emphasis on the images and the arenas of everyday life in North American culture. Includes explorations of the fashion system, the medical body, the cosmetic and fitness industry, visual colonialism, museum displays, and high and popular art.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6510,Feminist Political Theory,"Feminist Political Theory3 Credit Hours  Description(Same as PolS 6510) This course is divided into three sections. The first is an overview of the treatment of women in Western political thought. The second is an analysis of five strands of feminist thinking: liberal, Marxist, socialist, radical, and postmodern. The third is a more detailed look at a few particular authors, including de Beauvoir, Gilligan, hooks, and MacKinnon.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6580,Thinking the Body,"Thinking the Body3 Credit Hours  DescriptionCrosslisted with WGSS 4580. This course considers different threads of feminist and social body theory as they consider the idealization and representation of the body, the input of biopolitical and scientifico-medical discourses on notions of the body, and interrogate the perceived materiality of the body. The course also addresses interventions in normalizing body discourses, specifically in genres of performance art, memoir, and personal essay.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6590,Cultural Studies of Gender,"Cultural Studies of Gender3 Credit Hours  Description Introduces students to cultural studies as methodological approach to studying gender and culture. The topics vary each year; however, the course will consistently examine how popular culture provides a means for understanding social negotiation, politics and identity construction that people enact in everyday activities with a special focus on the role of gender.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6720,Feminist Issues in Contemporary Art,"Feminist Issues in Contemporary Art3 Credit Hours  DescriptionCrosslisted with AH 4720, AH 6720 , and WGSS 4720 Emphasis on feminist analyses of contemporary art and visual culture.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6740,Women Artists,Women Artists3 Credit Hours  Description(Same as AH 6750 ) A survey of women artists from prehistory to the present.,"Women’s, Gender & Sexuality Studies",GSU
WGSS 6750,Black Feminist Thought,"Black Feminist Thought3 Credit Hours  Description(Same as AAS 6007 ) Explores the tradition of Black feminism in the nineteenth and twentieth centuries. Students will critically read, discuss, and respond in writing to a series of texts representing Black feminist thought and its relationship to other feminisms. Students will be expected to demonstrate their knowledge of the Black feminist tradition and to demonstrate their ability to query, compare, and extend Black feminist theories.","Women’s, Gender & Sexuality Studies",GSU
WGSS 6760,Activism: History and Theory,"Activism: History and Theory3 Credit Hours  Description Theoretical and historical perspectives on activism, focusing on how various types of activism are intertwined, the emergence of second-wave feminism within the context of civil rights and anti-war movements, and current feminist activisms within broader social justice frameworks. Students are required to spend a specified number of hours per week working on an activist project. This course is required for students following the Activist Track of the M.A. in Women’s Studies.","Women’s, Gender & Sexuality Studies",GSU
