,CourseNumber,CourseTitle,Description,CourseDepartment
6228,MHCH 716,International Family Planning and Reproductive Health,"Permission of the instructor for nonmajors. Course provides overview of critical issues including major theoretical frameworks, patterns and trends over time, and overview of history of family planning and reproductive health policy development. Three lecture hours per week.",MHCH
6229,MHCH 717,Field Training in Maternal and Child Health,"A faculty-supervised field experience in maternal and child health research, community practice, program planning, and evaluation. Students are supervised on-site by department-approved field instructor. An additional field fee of $350 is assessed. Minimum of six weeks.",MHCH
6230,MHCH 718,Concurrent Field Training in Maternal and Child Health,"MHCH majors only. An elective, faculty-supervised field experience in maternal and child health research, community practice, program planning, and evaluation. Students are supervised on-site by department-approved field instructor. Students choosing this elective are not exempt from MHCH 717. Variable number of hours.",MHCH
6231,MHCH 720,Services for Children with Chronic Conditions,"Permission of the instructor. This course focuses on the design, organization, and delivery of services for children with special needs and their families, and examines current program development and public policies. Participants analyze the range of services needed by these children.",MHCH
6232,MHCH 722,Global Maternal and Child Health,"This course covers the main causes of maternal and under-five morbidity and mortality in developing countries and also the interventions, policies, and research which address these causes. Emphasis is placed on both distal and proximate determinants, measurement and indicators, and conceptual frameworks.",MHCH
6233,MHCH 723,Introduction to Monitoring and Evaluation,This course provides the students with the basic concepts and methodologies needed to monitor and evaluate programs of global health programs. Course covers M&E systems; conceptual frameworks/logic models; indicators; information sources; evaluation designs and related topics for health programs in developing country settings.  This course is required for the MCFH and GH concentrations.,MHCH
6234,MHCH 724,Abortion Care and Policy,"This course will provide an overview of the critical issues in abortion care and policy, both in the US and globally. We will cover the major theoretical frameworks defining abortion care and policy, and the epidemiology of abortion globally and nationally.",MHCH
6235,MHCH 726,Adolescent Health,"Topics covered include the epidemiology of health problems, developmental issues, health services, and psychosocial influences on adolescent problem behaviors. Course materials are useful for research generation and practical application. Three seminar hours per week.",MHCH
6236,MHCH 728,"Introduction to Implementation Research and Practice in Maternal, Child and Family Health","Permission of the instructor for nonmajors. Implementation research and practice addresses the gap between the development of innovations in public health and their delivery in routine practice. Course provides an overview of core theories/methods in implementation research and practice plus implementation determinants and strategies at the intervention, individual, organizational, and policy levels.",MHCH
6237,MHCH 729,Implementation Science for Global Maternal and Child Health," This course examines contributions of implementation science to global maternal and child health with a focus on research methods, emphasizing implementation science theories, frameworks, and tools in their application to challenges in global health.",MHCH
6238,MHCH 732,Gender-Based Violence,"The MHCH Gender-Based Violence (GBV) course provides a forum for students to explore contemporary issues in GBV from both a research and practice standpoint. Students will be introduced to a myriad of domestic and international GBV issues, from intimate partner violence and campus sexual assault to sex trafficking.",MHCH
6239,MHCH 740,Problems in Maternal and Child Health,Prerequisites to be arranged with departmental faculty in each individual case. Two to six hours a week.,MHCH
6240,MHCH 745,Applied Methods for Health Transformation Implementation in MCH,"This course is designed to integrate the theory, research literature, and evidence-supported practices that promote population health outcomes in MCH. The passage of the Patient Protection and Affordable Care Act (ACA) offers opportunities for improving public health systems, health care financing and delivery, and health outcomes for MCH populations.",MHCH
