Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
2302,OPRS 5113 , Game Theory ,"The theory of zero-sum matrix games, minimax theorem, optimal strategies, symmetric games, economic models, infinite, separable, polynomial, multi-stage, general-sum and n-person games. A project is required of all graduate students.",Optical Science and Engineering,UNCC
2303,OPRS 5114 , Dynamic Programming ,"The identification of dynamic programming problems and their solution in terms of recurrence relations. Elementary path problems, resource allocation, shortest path, traveling salesmen problem, discretetime optimal control, replacement models and inventory systems. A project will be required of all graduate students.",Optical Science and Engineering,UNCC
2304,OPRS 6101 , Introduction to Operations Research ,"Operations Research approach: modeling, constraints, objective and criterion. The problem of multiple criteria, optimization, model validation. The team approach. Systems design. Examples, or methodology: mathematical programming, optimum seeking, simulation, gaming, heuristic programming. Examples, or applications: theory of inventory, economic ordering under deterministic and stochastic demand. The production smoothing problem, linear and quadratic cost functions. Waiting line problems: single and multiple servers with Poisson input and output. The theory of games for two-person competitive situations. Project management through probabilistic activity networks and deterministic activity network (CPM-PERT).",Optical Science and Engineering,UNCC
2305,OPRS 7125 , Stochastic Processes ,"Basic ideas in the study of stochastic processes, selected from: discrete and continuous time Markov processes, stationary and renewal processes, applications to queuing theory, reliability theory, stochastic differential equations, time-series analysis, filtering and stochastic control theory. ",Optical Science and Engineering,UNCC
2306,OPRS 8101 , Introduction to Operations Research ,"Operations Research approach: modeling, constraints, objective and criterion. The problem of multiple criteria, optimization, model validation. The team approach. Systems design. Examples, or methodology: mathematical programming, optimum seeking, simulation, gaming, heuristic programming. Examples, or applications: theory of inventory, economic ordering under deterministic and stochastic demand. The production smoothing problem, linear and quadratic cost functions. Waiting line problems: single and multiple servers with Poisson input and output. The theory of games for two-person competitive situations. Project management through probabilistic activity networks and deterministic activity network (CPM-PERT). ",Optical Science and Engineering,UNCC
2307,OPRS 8125 , Stochastic Processes I ,"Basic ideas in the study of stochastic processes, selected from: discrete and continuous time Markov processes, stationary and renewal processes, applications to queuing theory, reliability theory, stochastic differential equations, time-series analysis, filtering and stochastic control theory. ",Optical Science and Engineering,UNCC
2308,NURS 6090 , Selected Topics in Nursing ,Topics to be chosen from the specialties of nursing. No more than six hours of topics and/or independent study course credit in nursing may be applied toward degree requirements.,Organizational Science,UNCC
2309,NURS 6100 , Chronic Illness Concepts and Theories for Advanced Nursing Practice ,Focus on contemporary chronic illness concepts and theories relevant to individuals and families coping with long-term health deviations and their impact on society. Emphasis on knowledge and skills needed for advanced nursing practice. ,Organizational Science,UNCC
2310,NURS 6101 , Theoretical Basis for Nursing Practice ,"Philosophical foundations and knowledge development in nursing. Evaluation of theories, models and their relationships to practice. ",Organizational Science,UNCC
2311,NURS 6115 , Health Policy and Planning in the U.S. ,"Overview of the organization and financing of the healthcare delivery system in the United States. Analysis of healthcare policy, financing, political trends, ethical, and professional issues, including the theoretical underpinning of health policy making, the empirical thrusts of policy analysis and research, and the relationship between health policy making and political process in the practice of nursing and healthcare.",Organizational Science,UNCC
2312,NURS 6150 , Health of Immigrant Populations in the United States ,"This course examines the health of immigrant populations within the context of a nation of origin, the process of migration, and resettlement experiences. Explores theoretical. frameworks that may explain socialization of groups to surrounding societies. Examines selected traditional healing modalities and essential components of culturally competent healthcare practice. ",Organizational Science,UNCC
2313,NURS 6160 , Research in Nursing and Health Professions ,"Methods of inquiry for research will be explored and critiqued nursing and the health professions. Emphasis is on translational research for evidence based developing skills useful for conducting and evaluating research, using research in practice and program evaluation. ",Organizational Science,UNCC
2314,NURS 6162 , Information Resource Management ,"Adaptation of technological innovation (Informatics) to the field of nursing, including theoretical and applied computer utilization, patient acuity and quality assurance components to the professional practice of nursing.Cross-listed as: HADM 6146  and HCIP 6146 .  ",Organizational Science,UNCC
2315,NURS 6175 , Nursing Informatics ,"Adaptation of technological innovation (Informatics) to the field of nursing, including theoretical and applied computer utilization, patient acuity and quality assurance components to the professional practice of nursing. ",Organizational Science,UNCC
2316,NURS 6180 , Community/Public Health Nursing Theory and Practice ,"This course examines how population-based theories and practice inform advanced practice community/public nursing in communities and schools. It focuses on core public health functions and competencies, public health law and ethics, the role of C/PHN in influencing public health policies, Healthy People goals and objectives, and collaboration with communities to assess, plan, develop, implement, and evaluate culturally competent health promotion programs. ",Organizational Science,UNCC
